WellName,TotalProdMonths,OIL_BBL
STRAIN 20 UNIT 2 2007BH,15,1509.704835905712
STRAIN 20 UNIT 2 2007BH,16,177.73669251359033
STRAIN 20 UNIT 2 2007BH,17,120.28388592222424
STRAIN 20 UNIT 2 2007BH,18,673.3371965745927
STRAIN 20 UNIT 2 2007BH,19,1202.8388592222425
STRAIN 20 UNIT 2 2007BH,20,1237.5507050415297
STRAIN 20 UNIT 2 2007BH,21,1654.6137693395729
STRAIN 20 UNIT 2 2007BH,22,1167.7955223787596
STRAIN 20 UNIT 2 2007BH,23,1649.5782628291802
STRAIN 20 UNIT 2 2007BH,24,1537.1712350533064
STRAIN 20 UNIT 2 2007BH,25,1412.2464747923505
STRAIN 20 UNIT 2 2007BH,26,1459.981182276446
STRAIN 20 UNIT 2 2007BH,27,1198.1032731623122
STRAIN 20 UNIT 2 2007BH,28,1123.0442341124203
STRAIN 20 UNIT 2 2007BH,29,1193.3676871023822
STRAIN 20 UNIT 2 2007BH,30,1086.3434421479622
STRAIN 20 UNIT 2 2007BH,31,1025.727940580857
STRAIN 20 UNIT 2 2007BH,32,1068.7270620050222
STRAIN 20 UNIT 2 2007BH,33,891.7108550848355
STRAIN 20 UNIT 2 2007BH,34,716.0206122614293
STRAIN 20 UNIT 2 2007BH,35,1350.5891442920608
STRAIN 20 UNIT 2 2007BH,36,991.1581623433674
STRAIN 20 UNIT 2 2007BH,37,946.3910887901616
STRAIN 20 UNIT 1 2004BH,1,5085.751078488184
STRAIN 20 UNIT 1 2004BH,2,14477.160143812273
STRAIN 20 UNIT 1 2004BH,3,15739.256969931104
STRAIN 20 UNIT 1 2004BH,4,13002.49864475004
STRAIN 20 UNIT 1 2004BH,5,10538.099659162424
STRAIN 20 UNIT 1 2004BH,6,7751.713480713766
STRAIN 20 UNIT 1 2004BH,7,7019.5592166343695
STRAIN 20 UNIT 1 2004BH,8,5720.43010752688
STRAIN 20 UNIT 1 2004BH,9,1847.82568058472
STRAIN 20 UNIT 1 2004BH,10,5659.751464812311
STRAIN 20 UNIT 1 2004BH,11,3896.913768716469
STRAIN 20 UNIT 1 2004BH,12,3222.566313782425
STRAIN 20 UNIT 1 2004BH,13,2969.828085763956
STRAIN 20 UNIT 1 2004BH,14,2936.0633571566545
STRAIN 20 UNIT 1 2004BH,15,2625.329985190908
STRAIN 20 UNIT 1 2004BH,16,1909.8618579698043
STRAIN 20 UNIT 1 2004BH,17,1858.2439699165664
STRAIN 20 UNIT 1 2004BH,18,1194.348629929082
STRAIN 20 UNIT 1 2004BH,19,1297.550580420844
STRAIN 20 UNIT 1 2004BH,20,1349.1211126134824
STRAIN 20 UNIT 1 2004BH,21,1255.4038644874663
STRAIN 20 UNIT 1 2004BH,22,1228.2531710772002
STRAIN 20 UNIT 1 2004BH,23,1310.8102213886484
STRAIN 20 UNIT 1 2004BH,24,564.4818583436664
STRAIN 20 UNIT 1 2004BH,25,1171.489279505505
STRAIN 20 UNIT 1 2004BH,26,1307.0217525407045
STRAIN 20 UNIT 1 2004BH,27,1127.4483291481552
STRAIN 20 UNIT 1 2004BH,28,1066.9275393022488
STRAIN 20 UNIT 1 2004BH,29,829.2011190937584
STRAIN 20 UNIT 1 2004BH,30,394.7956621319573
STRAIN 20 UNIT 1 2004BH,31,10.418289331846193
STRAIN 20 UNIT 1 2004BH,32,29.36063357156654
STRAIN 20 UNIT 1 2004BH,33,341.43575492095937
STRAIN 20 UNIT 1 2004BH,34,536.8102504668083
STRAIN 20 UNIT 1 2004BH,35,543.1717210739811
STRAIN 20 UNIT 1 2004BH,36,376.00553315844894
STRAIN 20 UNIT 1 2004BH,37,461.9406348593136
STRAIN 20 UNIT 1 2004BH,38,944.7494189560524
STRAIN 20 UNIT 1 2004BH,39,900.8821067542334
STRAIN 20 UNIT 2 2008BH,1,11677.955223787596
STRAIN 20 UNIT 2 2008BH,2,13730.989633635952
STRAIN 20 UNIT 2 2008BH,3,13697.209119741785
STRAIN 20 UNIT 2 2008BH,4,13054.590091409273
STRAIN 20 UNIT 2 2008BH,5,13150.627776704654
STRAIN 20 UNIT 2 2008BH,6,11707.789415965157
STRAIN 20 UNIT 2 2008BH,7,13714.841285171591
STRAIN 20 UNIT 2 2008BH,8,13519.624642494407
STRAIN 20 UNIT 2 2008BH,9,12959.404811604678
STRAIN 20 UNIT 2 2008BH,10,10981.925549822014
STRAIN 20 UNIT 2 2008BH,11,10741.256301133426
STRAIN 20 UNIT 2 2008BH,12,9991.423604404094
STRAIN 20 UNIT 2 2008BH,13,859.508869877311
STRAIN 20 UNIT 2 2008BH,15,
STRAIN 20 UNIT 2 2008BH,16,
STRAIN 20 UNIT 2 2008BH,17,
STRAIN 20 UNIT 2 2008BH,18,1029.9899680347942
STRAIN 20 UNIT 2 2008BH,19,2946.3395789067026
STRAIN 20 UNIT 2 2008BH,20,1970.4773595369093
STRAIN 20 UNIT 2 2008BH,21,1803.3111716213773
STRAIN 20 UNIT 2 2008BH,22,1378.9373422232286
STRAIN 20 UNIT 2 2008BH,23,1316.4929246605643
STRAIN 20 UNIT 2 2008BH,24,1102.981134505183
STRAIN 20 UNIT 2 2008BH,25,442.7772966034632
STRAIN 20 UNIT 2 2008BH,26,1146.5327409696736
STRAIN 20 UNIT 2 2008BH,27,801.2611613401708
STRAIN 20 UNIT 2 2008BH,28,702.287412687632
STRAIN 20 UNIT 2 2008BH,29,596.5102053956603
STRAIN 20 UNIT 2 2008BH,30,531.8063145301488
STRAIN 20 UNIT 2 2008BH,31,488.3652050737235
STRAIN 20 UNIT 2 2008BH,32,438.9888277555192
STRAIN 20 UNIT 2 2008BH,33,341.43575492095937
STRAIN 20 UNIT 2 2008BH,34,40.370871160904
STRAIN 20 UNIT 2 2008BH,35,27.46639914759451
STRAIN 20 UNIT 2 2008BH,36,155.12201403644323
STRAIN 20 UNIT 2 2008BH,37,278.92601892988216
STRAIN 20 UNIT 2 2008BH,38,288.712896787071
STRAIN 20 UNIT 2 2008BH,39,388.7916155202602
STRAIN 20 UNIT 2 2008BH,40,276.55822589991715
STRAIN 20 UNIT 2 2008BH,41,392.9431459661322
STRAIN 20 UNIT 2 2008BH,42,368.4285954625609
STRAIN 20 UNIT 2 2008BH,43,340.58334943017184
STRAIN 20 UNIT 2 2008BH,44,354.6953958887636
STRAIN 20 UNIT 2 2008BH,45,293.1327771096724
STRAIN 20 UNIT 2 2008BH,46,276.3045337895637
STRAIN 20 UNIT 2 2008BH,47,295.5005701396375
STRAIN 20 UNIT 2 2008BH,48,270.6071727512716
STRAIN 20 UNIT 2 2008BH,49,257.14232305420376
STRAIN 20 UNIT 2 2008BH,50,270.11782885841217
STRAIN 20 UNIT 2 2008BH,51,226.8345722706512
STRAIN 20 UNIT 2 2008BH,52,183.2671805192944
STRAIN 20 UNIT 2 2008BH,53,347.9235078230635
STRAIN 20 UNIT 2 2008BH,54,257.14232305420376
STRAIN 20 UNIT 2 2008BH,55,247.1186658940184
DARK STAR UNIT 1 2102BH,1,12168.50357561511
DARK STAR UNIT 1 2102BH,2,10381.74709991668
DARK STAR UNIT 1 2102BH,3,10144.897693371622
DARK STAR UNIT 1 2102BH,4,6746.295687553882
DARK STAR UNIT 1 2102BH,5,5586.387233224379
DARK STAR UNIT 1 2102BH,6,4586.462901055008
DARK STAR UNIT 1 2102BH,7,3797.3210280074336
