WellName,TotalProdMonths,OIL_BBL
STRAIN 20 UNIT 2 2017AH,7,6005.717597063936
STRAIN 20 UNIT 2 2017AH,8,2403.3099254145195
STRAIN 20 UNIT 2 2017AH,9,6204.880561457729
STRAIN 20 UNIT 2 2017AH,10,4322.642955504184
STRAIN 20 UNIT 2 2017AH,11,3775.682765582259
STRAIN 20 UNIT 2 2017AH,12,3198.351683729315
STRAIN 20 UNIT 2 2017AH,13,2841.3516359580526
STRAIN 20 UNIT 2 2017AH,14,2603.309510012233
STRAIN 20 UNIT 2 2017AH,15,2333.2232517275543
STRAIN 20 UNIT 2 2017AH,16,1808.046757681308
STRAIN 20 UNIT 2 2017AH,17,213.3888904219211
STRAIN 20 UNIT 2 2017AH,18,144.90893343386068
STRAIN 20 UNIT 2 2017AH,19,814.7575816109716
STRAIN 20 UNIT 2 2017AH,20,1460.454740882439
STRAIN 20 UNIT 2 2017AH,21,1507.1791900070823
STRAIN 20 UNIT 2 2017AH,22,2023.0423648021333
STRAIN 20 UNIT 2 2017AH,23,1432.9883417348449
STRAIN 20 UNIT 2 2017AH,24,2031.2664992595453
STRAIN 20 UNIT 2 2017AH,25,1899.4435686379584
STRAIN 20 UNIT 2 2017AH,26,1751.361792543944
STRAIN 20 UNIT 2 2017AH,27,1816.5708125891813
STRAIN 20 UNIT 2 2017AH,28,1495.9716363319146
STRAIN 20 UNIT 2 2017AH,29,1407.2132233229393
STRAIN 20 UNIT 2 2017AH,30,1500.2336637858518
STRAIN 20 UNIT 2 2017AH,31,1370.652243899298
STRAIN 20 UNIT 2 2017AH,32,1298.9712562388231
STRAIN 20 UNIT 2 2017AH,33,1357.9293026849523
STRAIN 20 UNIT 2 2017AH,34,1137.014212989214
STRAIN 20 UNIT 2 2017AH,35,915.862343990479
STRAIN 20 UNIT 2 2017AH,36,1733.7454124010042
STRAIN 20 UNIT 2 2017AH,37,1276.7140017571517
STRAIN 20 UNIT 2 2017AH,38,1223.359732148606
VLT MAUSER MAGNUM UNIT 0041WA,1,2737.3800259403365
VLT MAUSER MAGNUM UNIT 0041WA,2,12510.85728630601
VLT MAUSER MAGNUM UNIT 0041WA,3,12256.10894941634
VLT MAUSER MAGNUM UNIT 0041WA,4,10669.762771432155
VLT MAUSER MAGNUM UNIT 0041WA,5,7591.8915526547
VLT MAUSER MAGNUM UNIT 0041WA,6,7760.674448767832
VLT MAUSER MAGNUM UNIT 0041WA,7,7580.444332873101
VLT MAUSER MAGNUM UNIT 0041WA,8,7813.411154345005
VLT MAUSER MAGNUM UNIT 0041WA,9,6713.7944019078695
VLT MAUSER MAGNUM UNIT 0041WA,10,6257.813480607506
VLT MAUSER MAGNUM UNIT 0041WA,11,4308.0044469149525
VLT MAUSER MAGNUM UNIT 0041WA,12,6274.984310279904
VLT MAUSER MAGNUM UNIT 0041WA,13,5908.482490272372
VLT MAUSER MAGNUM UNIT 0041WA,14,4955.2152629597085
VLT MAUSER MAGNUM UNIT 0041WA,15,4739.896238651101
VLT MAUSER MAGNUM UNIT 0041WA,16,4920.873603614911
VLT MAUSER MAGNUM UNIT 0041WA,17,4887.962846742814
VLT MAUSER MAGNUM UNIT 0041WA,18,4501.84176394293
VLT MAUSER MAGNUM UNIT 0041WA,19,4177.2812853018695
VLT MAUSER MAGNUM UNIT 0041WA,20,3525.473411154345
VLT MAUSER MAGNUM UNIT 0041WA,21,4108.120999121376
VLT MAUSER MAGNUM UNIT 0041WA,22,3856.759131417096
VLT MAUSER MAGNUM UNIT 0041WA,23,3098.721511951084
VLT MAUSER MAGNUM UNIT 0041WA,25,4633.43709468223
VLT MAUSER MAGNUM UNIT 0041WA,26,3393.146730262332
VLT MAUSER MAGNUM UNIT 0041WA,27,3513.1517509727623
VLT MAUSER MAGNUM UNIT 0041WA,28,3996.033638759884
VLT MAUSER MAGNUM UNIT 0041WA,29,3585.8415965859167
VLT MAUSER MAGNUM UNIT 0041WA,30,3888.223086900129
VLT MAUSER MAGNUM UNIT 0041WA,31,3485.678423496925
DARK STAR UNIT 1 2111AH,1,12169.270389458254
DARK STAR UNIT 1 2111AH,2,12283.3445415826
DARK STAR UNIT 1 2111AH,3,12014.76389848735
DARK STAR UNIT 1 2111AH,4,7998.537245993696
DARK STAR UNIT 1 2111AH,5,6630.134178755563
DARK STAR UNIT 1 2111AH,6,5448.7090885988855
DARK STAR UNIT 1 2111AH,7,4516.143081307842
DARK STAR UNIT 1 2111AH,8,4184.393778336985
DARK STAR UNIT 1 2111AH,9,3039.726787302551
DARK STAR UNIT 1 2111AH,10,2674.3889216749235
DARK STAR UNIT 1 2111AH,11,2510.730478277173
DARK STAR UNIT 1 2111AH,12,1834.1051013545969
DARK STAR UNIT 1 2111AH,13,1841.830425903142
DARK STAR UNIT 1 2111AH,14,1722.6374611714218
